timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073126081,2.0862744,0.34039217,-0.13932897,37.73,118.23,-11.2,5,30.0,7.533754
1784073126081,1.8537341,2.7616906,0.039773423,0.56,48.86,-125.51,5,30.0,7.533754
1784073126081,0.4836253,2.2502484,-0.5614641,113.89,21.28,-266.98,5,30.0,7.533754
1784073126081,-1.0133681,3.5678954,-0.7473987,76.44,-29.26,-295.12,5,30.0,7.533754
1784073126081,-3.0889063,5.4533505,0.4087146,164.57,-9.31,-153.44,5,30.0,7.533754
1784073126168,-2.631146,2.3078344,-1.8627625,90.44,23.52,-30.24,5,30.0,7.533754
1784073126168,-1.0528976,1.1351285,0.13493682,-175.91,-4.83,24.710001,5,30.0,7.533754
1784073126168,-0.5495076,1.3113029,0.82157737,-104.58,13.3,34.72,5,30.0,7.533754
1784073126168,-0.07954685,1.7239215,-0.41603488,7.84,33.46,21.84,5,30.0,7.533754
1784073126168,0.14225708,2.0213683,-0.3726013,-8.05,35.420002,-9.7300005,5,30.0,7.533754
1784073126168,0.30867103,1.8356776,0.089551196,-9.59,35.21,-40.46,5,30.0,7.533754
1784073126168,0.26670152,1.8388497,-0.09662745,8.96,23.17,-55.16,5,30.0,7.533754
1784073126168,0.26450545,1.8042005,-0.17593028,-7.21,2.45,-55.79,5,30.0,7.533754
1784073126262,0.17837037,1.8124967,-0.19984314,-33.04,-16.1,-47.32,5,30.0,7.533754
1784073126262,-0.025376907,1.79078,-0.27084967,-60.2,-25.34,-28.56,5,30.0,7.533754
1784073126262,-0.2015512,1.513342,-0.18520261,-70.49,-21.35,-9.31,5,30.0,7.533754
1784073126262,-0.23668844,1.4357473,-0.223756,-61.25,-15.12,2.17,5,30.0,7.533754
1784073126262,-0.23058824,1.3200872,-0.20911546,-55.44,-7.28,7.0,5,30.0,7.533754
1784073126262,-0.22351198,1.17417,-0.11980827,-48.58,3.22,9.17,5,30.0,7.533754
1784073126262,-0.13566884,1.1134118,-0.09955555,-37.38,8.05,10.43,6,36.0,7.533754
1784073126262,-0.10028758,1.0165403,-0.11736819,-31.43,6.65,11.9,6,36.0,7.533754
1784073126351,-0.044653594,0.9206449,-0.18861873,-31.5,0.28,12.74,6,36.0,7.533754
1784073126351,0.013420479,0.8425621,-0.13908496,-43.26,-2.03,15.05,6,36.0,7.533754
1784073126351,0.0031721133,0.7713115,-0.307939,-47.88,-8.54,17.43,6,36.0,7.533754
1784073126351,-0.0014640522,0.5907451,-0.32697168,-48.58,-14.28,19.25,6,36.0,7.533754
1784073126351,0.033673204,0.504122,-0.34844443,-42.98,-18.83,20.79,6,36.0,7.533754
1784073126351,0.049045753,0.3806536,-0.25425708,-26.04,-24.29,22.12,6,36.0,7.533754
1784073126351,0.10882789,0.2967146,-0.17105012,-2.24,-33.81,23.45,6,36.0,7.533754
1784073126351,0.16006972,0.28695425,-0.2157037,18.2,-39.41,23.8,6,36.0,7.533754
1784073126395,0.14054902,0.20008714,-0.09052724,30.03,-41.51,23.94,6,36.0,7.533754
1784073126395,0.2430327,0.27499783,0.014152505,25.55,-45.36,22.68,6,36.0,7.533754
1784073126395,0.19789107,0.23668844,0.13640088,12.32,-51.38,19.81,6,36.0,7.533754
1784073126395,0.11834422,0.15762964,0.10345969,9.94,-56.7,17.99,6,36.0,7.533754
1784073126395,-0.017568627,0.02269281,-0.085403055,-2.45,-48.51,12.32,6,36.0,7.533754
1784073126395,-0.09077124,-0.012932462,-0.09321132,3.3600001,-35.91,6.16,6,36.0,7.533754
1784073126395,-0.008784314,-0.20765142,-0.05343791,4.2,-26.39,-0.63,6,36.0,7.533754
1784073126395,-7.320261E-4,-0.23034422,-0.09272331,2.8700001,-15.68,-5.11,6,36.0,7.533754
1784073126485,0.07759477,-0.36772114,0.06637037,0.63,-4.9,-9.24,6,36.0,7.533754
1784073126485,0.118832245,-0.35137254,0.5482876,3.01,-10.36,-14.21,6,36.0,7.533754
1784073126485,0.7173856,-0.26401743,1.8686187,3.85,-39.13,-12.18,6,36.0,7.533754
1784073126485,1.4157386,-0.18959478,1.8827711,64.19,-76.23,8.4,6,36.0,7.533754
1784073126485,0.4716688,-0.14762528,0.9892113,137.41,-95.69,17.29,7,42.0,7.533754
1784073126485,-1.2471285,-0.32599562,-0.35210457,150.57,-75.11,-2.66,7,42.0,7.533754
1784073126485,-1.2739694,0.13542484,-0.34039217,94.57,-64.19,-6.7200003,7,42.0,7.533754
1784073126485,-1.1812462,1.1902745,0.05783007,47.95,-42.91,35.49,7,42.0,7.533754
1784073126528,-0.87965137,2.7067885,-0.47581697,101.78,-32.13,114.520004,7,42.0,7.533754
1784073126528,-0.68908066,6.087285,-0.6529673,103.25,-9.52,169.54,7,42.0,7.533754
1784073126528,1.2566448,3.5649674,-1.0389892,132.65,-3.92,124.04,7,42.0,7.533754
1784073126528,1.7756515,1.5404271,-0.23010023,-72.24,-16.17,60.41,7,42.0,7.533754
1784073126528,0.6641917,1.2014989,0.75471896,-62.93,2.45,19.25,7,42.0,7.533754
1784073126528,0.2608453,1.5457952,-0.20716341,19.18,20.44,5.32,7,42.0,7.533754
1784073126528,0.11248801,1.7219696,-0.28793028,-22.26,18.9,3.5,7,42.0,7.533754
1784073126528,2.4400871E-4,1.8122528,-0.13347277,-50.75,7.98,6.16,7,42.0,7.533754
1784073126620,-0.14518519,1.8020045,-0.16104576,-37.59,-3.3600001,13.79,7,42.0,7.533754
1784073126620,-0.21960786,1.8059086,-0.25913724,-31.85,-5.95,23.38,7,42.0,7.533754
1784073126620,-0.29232246,1.7834597,-0.18129848,-31.43,-2.31,25.83,7,42.0,7.533754
